,n@5,n@10,n@20,p@5,p@10,p@20,mrr,map,name,p_method,p_ratio,measure,r_sum,n_docs,gini,time
98,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,cm_50,9521867.0,201641432,0.994141106019,2746.87045002
99,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,cm_100,19236029.0,201641432,0.991521440392,2746.87045002
100,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,gm_0.5,3417884.64327,201641432,0.992635483908,2746.87045002
101,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,gm_1.0,813701.867625,201641432,0.99460734347,2746.87045002
102,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,gm_1.5,274562.853272,201641432,0.996692268532,2746.87045002
103,0.4694,0.466,0.4541,0.5797,0.5581,0.5176,0.7427,0.2882,infinite_renyi_0.3,infinite_renyi,0.3,gm_2.0,123397.957079,201641432,0.998069500576,2746.87045002
104,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,cm_10,1748998.0,201641432,0.998102658566,2530.09530187
105,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,cm_20,3692295.0,201641432,0.996759665838,2530.09530187
106,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,cm_50,9521839.0,201641432,0.994151019977,2530.09530187
107,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,cm_100,19235871.0,201641432,0.991544319512,2530.09530187
108,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,gm_0.5,3417863.42453,201641432,0.992652768884,2530.09530187
109,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,gm_1.0,813698.585086,201641432,0.994617226064,2530.09530187
110,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,gm_1.5,274562.23557,201641432,0.996696488614,2530.09530187
111,0.4689,0.4648,0.4543,0.5784,0.5561,0.5186,0.7408,0.2852,infinite_renyi_0.4,infinite_renyi,0.4,gm_2.0,123397.81609,201641432,0.998070927381,2530.09530187
112,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,cm_10,1748996.0,201641432,0.998103822468,2303.02575588
113,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,cm_20,3692291.0,201641432,0.996763835969,2303.02575588
114,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,cm_50,9521744.0,201641432,0.994168284262,2303.02575588
115,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,cm_100,19235013.0,201641432,0.991587543564,2303.02575588
116,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,gm_0.5,3417760.45098,201641432,0.992684833077,2303.02575588
117,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,gm_1.0,813685.754069,201641432,0.994635446498,2303.02575588
118,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,gm_1.5,274560.514139,201641432,0.996704286113,2303.02575588
119,0.4693,0.4659,0.4547,0.5784,0.5568,0.5182,0.7408,0.2801,infinite_renyi_0.5,infinite_renyi,0.5,gm_2.0,123397.544577,201641432,0.998073633818,2303.02575588
120,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,cm_10,1748982.0,201641432,0.998105519742,2018.66630316
121,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,cm_20,3692216.0,201641432,0.996774819704,2018.66630316
122,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,cm_50,9521227.0,201641432,0.994204963346,2018.66630316
123,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,cm_100,19233523.0,201641432,0.991679038652,2018.66630316
124,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,gm_0.5,3417551.80764,201641432,0.992752591571,2018.66630316
125,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,gm_1.0,813653.372312,201641432,0.99467421816,2018.66630316
126,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,gm_1.5,274554.538207,201641432,0.996721104718,2018.66630316
127,0.467,0.4646,0.453,0.5757,0.5568,0.5152,0.7432,0.2717,infinite_renyi_0.6,infinite_renyi,0.6,gm_2.0,123396.082363,201641432,0.998079616633,2018.66630316
128,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,cm_10,1748884.0,201641432,0.998115081444,1718.31933904
129,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,cm_20,3691933.0,201641432,0.996804737115,1718.31933904
130,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,cm_50,9519989.0,201641432,0.994309624882,1718.31933904
131,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,cm_100,19230252.0,201641432,0.991914904842,1718.31933904
132,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,gm_0.5,3417068.75743,201641432,0.992930609278,1718.31933904
133,0.4661,0.4598,0.4503,0.5797,0.5547,0.5162,0.733,0.2609,infinite_renyi_0.7,infinite_renyi,0.7,gm_1.0,813569.617823,201641432,0.994779065778,1718.31933904
